date_id,day,month,year,quarter
290,4,2,2020,1
291,5,2,2020,1
292,6,2,2020,1
293,7,2,2020,1
294,8,2,2020,1
295,10,2,2020,1
296,17,2,2020,1
297,24,2,2020,1
298,2,3,2020,1
299,3,3,2020,1
300,4,3,2020,1
301,5,3,2020,1
302,6,3,2020,1
303,7,3,2020,1
304,9,3,2020,1
305,3,8,2020,3
306,10,8,2020,3
307,17,8,2020,3
308,24,8,2020,3
309,31,8,2020,3
310,7,9,2020,3
311,14,9,2020,3
312,21,9,2020,3
313,28,9,2020,3
314,5,10,2020,4
315,12,10,2020,4
316,19,10,2020,4
317,26,10,2020,4
318,2,11,2020,4
319,9,11,2020,4
320,16,11,2020,4
321,23,11,2020,4
322,30,11,2020,4
323,7,12,2020,4
324,14,12,2020,4
325,21,12,2020,4
326,28,12,2020,4
327,4,1,2021,1
328,5,1,2021,1
329,6,1,2021,1
330,10,1,2021,1
331,11,1,2021,1
332,17,1,2021,1
333,18,1,2021,1
334,24,1,2021,1
335,25,1,2021,1
336,31,1,2021,1
337,1,2,2021,1
338,2,2,2021,1
339,3,2,2021,1
340,7,2,2021,1
341,8,2,2021,1
342,13,2,2021,1
343,14,2,2021,1
344,15,2,2021,1
345,22,2,2021,1
346,1,3,2021,1
347,7,3,2021,1
348,8,3,2021,1
349,15,3,2021,1
350,22,3,2021,1
351,29,3,2021,1
352,5,4,2021,2
353,12,4,2021,2
354,17,4,2021,2
355,19,4,2021,2
356,26,4,2021,2
357,29,4,2021,2
358,3,5,2021,2
359,10,5,2021,2
360,17,5,2021,2
361,24,5,2021,2
362,31,5,2021,2
363,7,6,2021,2
364,14,6,2021,2
365,21,6,2021,2
366,28,6,2021,2
367,5,7,2021,3
368,12,7,2021,3
369,19,7,2021,3
370,24,7,2021,3
371,26,7,2021,3
372,2,8,2021,3
373,9,8,2021,3
374,16,8,2021,3
375,23,8,2021,3
